Date,Domain,IP,Autonomous System Name
2018-08-04,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-03,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-02,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-01,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-31,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-30,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-29,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-28,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-27,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-25,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-07,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-06,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-05,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-04,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-03,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-02,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-01,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-30,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-20,obobettermann.id/payment.exe,202.52.146.30,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-19,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-19,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-19,obobettermann.id/payment.exe,202.52.146.30,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-18,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-18,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-17,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-17,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-16,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-16,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-15,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-15,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-15,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-14,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-14,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-10,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-09,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-08,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-26,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-25,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-24,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-23,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-22,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-04-16,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-15,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-14,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-13,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-12,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-12,interbanx.co.id/att1.png,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-11,interbanx.co.id/6days.bin,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-11,interbanx.co.id/att1.png,202.169.44.149,BIZNET-AS-AP BIZNET ISP
2018-04-10,interbanx.co.id/att1.png,202.169.44.149,BIZNET-AS-AP BIZNET ISP
Date,Domain,IP,Autonomous System Name
2018-08-04,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-03,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-02,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-08-01,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-31,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-30,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-29,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-28,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-27,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-25,garduherbal.com/LOL123.exe,103.229.72.33,"MWN-AS-ID PT Master Web Network, ID"
2018-07-07,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-06,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-05,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-04,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-03,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-02,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-07-01,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-30,abatii.web.id/ojay/Quotation.exe,202.52.146.120,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-20,obobettermann.id/payment.exe,202.52.146.30,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-19,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-19,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-19,obobettermann.id/payment.exe,202.52.146.30,"GMEDIA-AS-ID Global Media Teknologi, PT, ID"
2018-06-18,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-18,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-17,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-17,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-16,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-16,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-15,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-15,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-15,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-14,grafikakreatif.com/wp-content/lYODCs/index.html,103.20.190.64,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID"
2018-06-14,indostraits.co.id/dave.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-10,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-09,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-06-08,indostraits.co.id/woman.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-26,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-25,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-24,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
2018-05-23,indostraits.co.id/maniple.exe,202.72.218.138,SCBDNET-AS-ID PT ARTHA TELEKOMINDO
